Combat Search Experiment - CombatSearch
Could not make directory: ../bin/results

************************************************
* Running Experiment: CombatSearch [Integral]
************************************************
CombatSearchIntegral Results

  Frame   ArmyEval  ArmyIntegral_N   ArmyIntegral_E   BuildOrder
      0       0.00            0.00             0.00   Pr
CombatSearchIntegral Results

  Frame   ArmyEval  ArmyIntegral_N   ArmyIntegral_E   BuildOrder
      0       0.00            0.00             0.00   Pr
      0       0.00            0.00             0.00   Pr Ch_Ne
    278       0.00            0.00             0.00   Pr Ch_Ne Ga
    363       0.00            0.00             0.00   Pr Ch_Ne Ga Pr
CombatSearchIntegral Results

  Frame   ArmyEval  ArmyIntegral_N   ArmyIntegral_E   BuildOrder
      0       0.00            0.00             0.00   Pr
      0       0.00            0.00             0.00   Pr Ch_Ne
    278       0.00            0.00             0.00   Pr Ch_Ne Ga
    363       0.00            0.00             0.00   Pr Ch_Ne Ga Pr
   1318       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy
   1318       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr
CombatSearchIntegral Results

  Frame   ArmyEval  ArmyIntegral_N   ArmyIntegral_E   BuildOrder
      0       0.00            0.00             0.00   Pr
      0       0.00            0.00             0.00   Pr Ch_Ne
    278       0.00            0.00             0.00   Pr Ch_Ne Ga
    363       0.00            0.00             0.00   Pr Ch_Ne Ga Pr
   1318       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy
   1318       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr
   1590       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr Ga
   1590       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr Ga Ga
   1590       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr Ga Ga Ga
   1590       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr Ga Ga Ga Py
   1990       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr Ga Ga Ga Py Ze
   1990       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr Ga Ga Ga Py Ze Pr
CombatSearchIntegral Results

  Frame   ArmyEval  ArmyIntegral_N   ArmyIntegral_E   BuildOrder
      0       0.00            0.00             0.00   Pr
      0       0.00            0.00             0.00   Pr Ch_Ne
    278       0.00            0.00             0.00   Pr Ch_Ne Ga
    363       0.00            0.00             0.00   Pr Ch_Ne Ga Pr
   1318       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy
   1318       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr
   1590       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr Ga
   1590       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr Ga Ga
   1590       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr Ga Ga Py
   1990       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr Ga Ga Py Ze
   1990       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr Ga Ga Py Ze Pr
CombatSearchIntegral Results

  Frame   ArmyEval  ArmyIntegral_N   ArmyIntegral_E   BuildOrder
      0       0.00            0.00             0.00   Pr
      0       0.00            0.00             0.00   Pr Ch_Ne
    278       0.00            0.00             0.00   Pr Ch_Ne Ga
    363       0.00            0.00             0.00   Pr Ch_Ne Ga Pr
   1318       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy
   1318       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr
   1590       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr Ga
   1590       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr Ga Py
   1990       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr Ga Py Ze
   1990       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr Ga Py Ze Pr
CombatSearchIntegral Results

  Frame   ArmyEval  ArmyIntegral_N   ArmyIntegral_E   BuildOrder
      0       0.00            0.00             0.00   Pr
      0       0.00            0.00             0.00   Pr Ch_Ne
    278       0.00            0.00             0.00   Pr Ch_Ne Ga
    363       0.00            0.00             0.00   Pr Ch_Ne Ga Pr
   1318       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy
   1318       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr
   1318       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr As
   1318       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr As As
   1318       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr As As Py
   1718       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr As As Py Ze
   1718       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr As As Py Ze Pr
   1718       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr As As Py Ze Pr Ch_Ga
   1990       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr As As Py Ze Pr Ch_Ga Ga
   1990       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy Pr As As Py Ze Pr Ch_Ga Ga Pr
CombatSearchIntegral Results

  Frame   ArmyEval  ArmyIntegral_N   ArmyIntegral_E   BuildOrder
      0       0.00            0.00             0.00   Pr
      0       0.00            0.00             0.00   Pr Ch_Ne
    278       0.00            0.00             0.00   Pr Ch_Ne Ga
    363       0.00            0.00             0.00   Pr Ch_Ne Ga Pr
   1318       0.00            0.00             0.00   Pr Ch_Ne Ga Pr Cy
